security_id,seed_key,historical_ticker,pit_start,pit_end,pit_intervals,identity_status,market_data_status,vendor_symbol,price_start,price_end,coverage_days,expected_days,coverage_ratio,quality_status,reason,confidence,rebalance_encountered,local_listing_csv,notes
,,A,2000-06-05,,2000-06-05→open,UNRESOLVED,available,A,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,AABA,1999-12-08,2017-06-19,1999-12-08→2017-06-19,UNRESOLVED,missing,AABA,,,0,900,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,AAL,2015-03-23,2024-09-23,2015-03-23→2024-09-23,UNRESOLVED,available,AAL,2013-07-08,2025-12-31,3472,3472,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,AAP,2015-07-09,2023-08-25,2015-07-09→2023-08-25,UNRESOLVED,available,AAP,2013-07-08,2025-12-31,2969,2969,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,AAPL,1996-01-02,,1996-01-02→open,UNRESOLVED,available,AAPL,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,ABBV,2013-01-02,,2013-01-02→open,UNRESOLVED,available,ABBV,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,cencora,ABC,2001-08-30,2023-08-30,2001-08-30→2023-08-30,RESOLVED,available_other_ticker,COR,2013-07-08,2025-12-31,3163,3163,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as COR.
,,ABMD,2018-05-31,2022-12-22,2018-05-31→2022-12-22,UNRESOLVED,missing,ABMD,,,0,1666,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ABNB,2023-09-18,,2023-09-18→open,UNRESOLVED,available,ABNB,2020-12-10,2025-12-31,836,836,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,ABT,1996-01-02,,1996-01-02→open,UNRESOLVED,available,ABT,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,ACGL,2022-11-01,,2022-11-01→open,UNRESOLVED,available,ACGL,2013-07-08,2025-12-31,1157,1157,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,ACN,2011-07-06,,2011-07-06→open,UNRESOLVED,available,ACN,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,ADBE,1997-05-06,,1997-05-06→open,UNRESOLVED,available,ADBE,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,ADI,1999-10-12,,1999-10-12→open,UNRESOLVED,available,ADI,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,ADM,1996-01-02,,1996-01-02→open,UNRESOLVED,available,ADM,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,ADP,1996-01-02,,1996-01-02→open,UNRESOLVED,available,ADP,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,ADS,2013-12-23,2020-06-22,2013-12-23→2020-06-22,UNRESOLVED,missing,ADS,,,0,1999,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ADSK,1996-01-02,,1996-01-02→open,UNRESOLVED,available,ADSK,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,ADT,2012-10-02,2016-05-02,2012-10-02→2016-05-02,UNRESOLVED,missing,ADT,2018-01-19,2025-12-31,0,487,0.0000,not_applicable,D_unresolved_identity,low,true,true,No valid prices overlapping the PIT membership interval.
,,AEE,1996-01-02,,1996-01-02→open,UNRESOLVED,available,AEE,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,AEP,1996-01-02,,1996-01-02→open,UNRESOLVED,available,AEP,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
,,AES,1998-10-02,,1998-10-02→open,UNRESOLVED,available,AES,2013-07-08,2025-12-31,4018,4018,1.0000,valid,D_unresolved_identity,low,true,true,Local prices cover the PIT membership interval in this window.
