security_id,seed_key,historical_ticker,pit_start,pit_end,pit_intervals,identity_status,market_data_status,vendor_symbol,price_start,price_end,coverage_days,expected_days,coverage_ratio,quality_status,reason,confidence,rebalance_encountered,local_listing_csv,notes
,,AABA,1999-12-08,2017-06-19,1999-12-08→2017-06-19,UNRESOLVED,missing,AABA,,,0,900,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,cencora,ABC,2001-08-30,2023-08-30,2001-08-30→2023-08-30,RESOLVED,available_other_ticker,COR,2013-07-08,2025-12-31,3163,3163,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as COR.
,,ABMD,2018-05-31,2022-12-22,2018-05-31→2022-12-22,UNRESOLVED,missing,ABMD,,,0,1666,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ADS,2013-12-23,2020-06-22,2013-12-23→2020-06-22,UNRESOLVED,missing,ADS,,,0,1999,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,AGN,1996-01-02,2020-05-12,1996-01-02→2020-05-12,UNRESOLVED,missing,AGN,,,0,1958,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ALTR,2000-04-18,2015-12-28,2000-04-18→2015-12-28,UNRESOLVED,missing,ALTR,,,0,361,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,ALXN,2012-05-25,2021-07-21,2012-05-25→2021-07-21,UNRESOLVED,missing,ALXN,,,0,2393,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ANSS,2017-06-19,2025-07-18,2017-06-19→2025-07-18,UNRESOLVED,missing,ANSS,,,0,2951,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,elevance-health,ANTM,2002-07-25,2022-06-28,2002-07-25→2022-06-28,RESOLVED,available_other_ticker,ELV,2013-07-08,2025-12-31,2735,2735,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as ELV.
,,APC,1997-07-28,2019-08-09,1997-07-28→2019-08-09,UNRESOLVED,missing,APC,,,0,1681,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ARG,2009-09-09,2016-05-23,2009-09-09→2016-05-23,UNRESOLVED,missing,ARG,,,0,508,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ARNC,1996-01-02,2020-04-06,1996-01-02→2020-04-06,UNRESOLVED,missing,ARNC,,,0,1922,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,ATVI,2015-08-31,2023-10-18,2015-08-31→2023-10-18,UNRESOLVED,missing,ATVI,,,0,2970,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
