probe_symbol,sample_category,historical_period,pit_seed_key,expected_identity,must_not_alias,security_valid_from,security_valid_to,local_identity_status,local_market_data_status,local_listing_csv,local_price_start,local_price_end,local_quality_status,local_reason,norgate_identity,norgate_asset_id,historical_ticker,first_date,last_date,required_history_available,delisted_status,identity_match,ticker_recycling_safe,adjusted_prices_available,volume_available,corporate_action_handling,verdict,notes
ATVI,A_acquired_delisted,2015-08-31→2023-10-18,,Activision Blizzard,MSFT,2015-08-31,2023-10-18,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Must retain Activision identity after Microsoft combination. ATVI must not resolve to MSFT bars.
CELG,A_acquired_delisted,2006-11-06→2019-11-21,,Celgene,BMY,2006-11-06,2019-11-21,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Must retain Celgene identity. CELG must not resolve to Bristol-Myers (BMY) bars.
XLNX,A_acquired_delisted,1999-11-08→2022-02-15,,Xilinx,AMD,1999-11-08,2022-02-15,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Must retain Xilinx identity. XLNX must not resolve to AMD bars.
FRC,A_acquired_delisted,2019-01-02→2023-05-04,,First Republic Bank,,2019-01-02,2023-05-04,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,"live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Failed/delisted bank. Need own historical series, not a successor alias."
SIVB,A_acquired_delisted,2018-03-19→2023-03-15,,SVB Financial Group,,2018-03-19,2023-03-15,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,"live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Failed/delisted bank. Need own historical series, not a successor alias."
CBS,B_identity_chain_unresolved,1996-01-02→2019-12-05,,CBS Corporation (historical listing),PARA/WBD,1996-01-02,2019-12-05,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Do not infer identity from successor ticker. CBS is not automatically PARA or WBD.
VIAB,B_identity_chain_unresolved,2006-01-03→2019-12-05,,Viacom (historical listing),PARA/WBD,2006-01-03,2019-12-05,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Do not infer identity from successor ticker.
VIAC,B_identity_chain_unresolved,2019-12-05→2022-02-17,,ViacomCBS (historical listing),PARA,2019-12-05,2022-02-17,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Do not treat VIAC as automatically PARA. WBD is not automatically DISCA.
LLL,B_identity_chain_unresolved,2004-12-01→2019-07-01,,L3 Technologies (historical listing),LHX,2004-12-01,2019-07-01,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: L3 standalone is not L3Harris. Do not alias LLL to LHX.
RTN,B_identity_chain_unresolved,1996-01-02→2020-04-06,,Raytheon Company (historical listing),RTX,1996-01-02,2020-04-06,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Raytheon Company is not RTX. Do not alias RTN to UTX/RTX.
DWDP,B_identity_chain_unresolved,2017-09-01→2019-06-03,,DowDuPont (historical listing),DOW/DD/CTVA,2017-09-01,2019-06-03,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Combination/split chain. Do not guess successor identity from current tickers.
AVB,C_still_listed_download_hole,2007-01-10→open,,AvalonBay Communities,,2007-01-10,,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Still-listed hole. Need identity plus required 2013-07-08→2025-12-31 series.
EA,C_still_listed_download_hole,2002-07-22→open,,Electronic Arts,,2002-07-22,,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Still-listed hole. Need identity plus required 2013-07-08→2025-12-31 series.
EQR,C_still_listed_download_hole,2001-12-03→open,,Equity Residential,,2001-12-03,,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Still-listed hole. Need identity plus required 2013-07-08→2025-12-31 series.
BK,C_still_listed_download_hole,1996-01-02→2026-05-21,,Bank of New York Mellon,,1996-01-02,2026-05-21,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Left index in 2026; still listed. Need identity plus required window series.
MMC,C_still_listed_download_hole,1996-01-02→2026-01-14,,Marsh & McLennan,,1996-01-02,2026-01-14,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Still-listed hole. Need identity plus required 2013-07-08→2025-12-31 series.
HOLX,C_still_listed_download_hole,2016-03-30→2026-04-09,,Hologic,,2016-03-30,2026-04-09,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Still-listed hole. Security-valid range starts 2016-03-30; do not require 2013 warmup.
COG,D_ticker_change_successor_listed,2008-06-23→2021-10-04,,Cabot Oil & Gas / Coterra predecessor ticker,,2008-06-23,2021-10-04,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Ticker change COG→CTRA. Same security_id expected if same security. Predecessor lookup may fail (Norgate current-symbol-only).
CTRA,D_ticker_change_successor_listed,2021-10-04→2026-05-07,,Coterra Energy successor ticker,,2021-10-04,2026-05-07,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Successor of COG. Compare assetid with COG if both resolve.
SYMC,D_ticker_change_successor_listed,2003-03-31→2019-11-05,,Symantec predecessor ticker,,2003-03-31,2019-11-05,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Ticker change SYMC→NLOK→GEN. Same security_id expected if same security.
GEN,D_ticker_change_successor_listed,2022-11-08→open,,Gen Digital successor ticker,,2022-11-08,,UNRESOLVED,available,true,2013-07-08,2025-12-31,valid,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. Local prices cover the PIT membership interval in this window. Frozen hint: Successor of SYMC/NLOK. Local GEN.csv already exists; vendor identity still unproven.
PKI,D_ticker_change_successor_listed,1996-01-02→2023-05-16,,PerkinElmer predecessor ticker,,1996-01-02,2023-05-16,UNRESOLVED,missing,false,,,not_applicable,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. No Security Master row and no local CSV under the PIT ticker. Frozen hint: Ticker change PKI→RVTY. Same security_id expected if same security.
RVTY,D_ticker_change_successor_listed,2023-05-16→open,,Revvity successor ticker,,2023-05-16,,UNRESOLVED,available,true,2013-07-08,2025-12-31,valid,D_unresolved_identity,,,,,,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,NOT_TESTABLE,live trial not executed. Local prices cover the PIT membership interval in this window. Frozen hint: Successor of PKI. Local RVTY.csv already exists; vendor identity still unproven.
