sample_category,ticker,historical_period,pit_security,vendor_security_id,vendor_symbol,first_date,last_date,daily_ohlcv,adjusted_close,delisted_support,ticker_history,identity_status,coverage_status,notes
A_acquired_delisted,ATVI,2015-08-31→2023-10-18,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker ATVI: NOT_FOUND (ValueError: ) Delisted suffix ATVI-202310: NOT_FOUND (ValueError: ) Expected identity: Activision Blizzard. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Must retain Activision identity after Microsoft combination. ATVI must not resolve to MSFT bars.
A_acquired_delisted,CELG,2006-11-06→2019-11-21,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker CELG: NOT_FOUND (ValueError: ) Delisted suffix CELG-201911: NOT_FOUND (ValueError: ) Expected identity: Celgene. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Must retain Celgene identity. CELG must not resolve to Bristol-Myers (BMY) bars.
A_acquired_delisted,XLNX,1999-11-08→2022-02-15,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker XLNX: NOT_FOUND (ValueError: ) Delisted suffix XLNX-202202: NOT_FOUND (ValueError: ) Expected identity: Xilinx. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Must retain Xilinx identity. XLNX must not resolve to AMD bars.
A_acquired_delisted,FRC,2019-01-02→2023-05-04,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,"Current ticker FRC: NOT_FOUND (ValueError: ) Delisted suffix FRC-202305: NOT_FOUND (ValueError: ) Expected identity: First Republic Bank. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Failed/delisted bank. Need own historical series, not a successor alias."
A_acquired_delisted,SIVB,2018-03-19→2023-03-15,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,"Current ticker SIVB: NOT_FOUND (ValueError: ) Delisted suffix SIVB-202303: NOT_FOUND (ValueError: ) Expected identity: SVB Financial Group. Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Failed/delisted bank. Need own historical series, not a successor alias."
B_identity_chain_unresolved,CBS,1996-01-02→2019-12-05,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker CBS: NOT_FOUND (ValueError: ) Delisted suffix CBS-201912: NOT_FOUND (ValueError: ) Expected identity: CBS Corporation (historical listing). Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Do not infer identity from successor ticker. CBS is not automatically PARA or WBD.
B_identity_chain_unresolved,VIAB,2006-01-03→2019-12-05,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker VIAB: NOT_FOUND (ValueError: ) Delisted suffix VIAB-201912: NOT_FOUND (ValueError: ) Expected identity: Viacom (historical listing). Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Do not infer identity from successor ticker.
B_identity_chain_unresolved,VIAC,2019-12-05→2022-02-17,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker VIAC: NOT_FOUND (ValueError: ) Delisted suffix VIAC-202202: NOT_FOUND (ValueError: ) Expected identity: ViacomCBS (historical listing). Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Do not treat VIAC as automatically PARA. WBD is not automatically DISCA.
B_identity_chain_unresolved,LLL,2004-12-01→2019-07-01,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker LLL: NOT_FOUND (ValueError: ) Delisted suffix LLL-201907: NOT_FOUND (ValueError: ) Expected identity: L3 Technologies (historical listing). Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. L3 standalone is not L3Harris. Do not alias LLL to LHX.
B_identity_chain_unresolved,RTN,1996-01-02→2020-04-06,,,,,,UNKNOWN,UNKNOWN,NOT_TESTABLE,NO,NOT_TESTABLE,NOT_TESTABLE,Current ticker RTN: NOT_FOUND (ValueError: ) Delisted suffix RTN-202004: NOT_FOUND (ValueError: ) Expected identity: Raytheon Company (historical listing). Lookup success is not PASS. Missing Trial history is not FAIL. Coverage stays NOT_TESTABLE unless quoted dates cover eval window 2013-07-08→2025-12-31. Raytheon Company is not RTX. Do not alias RTN to UTX/RTX.
